TIMESTAMP,TIMER,JOINTTYPE,xPOSITION,yPOSITION,zPOSITION
16:11:23:1244, 00:00:00.2187687, HandRight,0.4931981,-0.2762016,1.638658
16:11:23:1254, 00:00:00.2196481, HipLeft,-0.005484838,-0.1478655,1.912311
16:11:23:1267, 00:00:00.2206185, KneeLeft,-0.08066975,-0.5104202,1.815837
16:11:23:1274, 00:00:00.2217395, AnkleLeft,-0.09711711,-0.8951881,1.765728
16:11:23:1294, 00:00:00.2229761, FootLeft,-0.05702636,-0.935511,1.670982
16:11:23:1304, 00:00:00.2239921, HipRight,0.1409322,-0.1656526,1.982638
16:11:23:1314, 00:00:00.2251215, KneeRight,0.1612574,-0.5297494,1.936837
16:11:23:1355, 00:00:00.2295924, AnkleRight,0.1530301,-0.9253042,1.956673
16:11:23:1364, 00:00:00.2306123, FootRight,0.1955295,-0.984497,1.873607
16:11:23:1384, 00:00:00.2323601, HipCenter,0.07645894,-0.08299837,1.987744
16:11:23:1394, 00:00:00.2335114, Spine,0.05470094,-0.02525232,2.052344
16:11:23:1404, 00:00:00.2346094, ShoulderCenter,0.07936911,0.3518814,2.113209
16:11:23:1424, 00:00:00.2360091, Head,0.1587125,0.5297354,2.14209
16:11:23:1434, 00:00:00.2370844, ShoulderLeft,-0.07058638,0.2403841,2.013216
16:11:23:1444, 00:00:00.2381915, ElbowLeft,-0.2297657,0.01864185,1.95153
16:11:23:1454, 00:00:00.2393208, WristLeft,-0.263908,-0.1914687,1.785841
16:11:23:1465, 00:00:00.2403108, HandLeft,-0.2567115,-0.2633005,1.75169
16:11:23:1475, 00:00:00.2413156, ShoulderRight,0.2539095,0.1974265,2.152663
16:11:23:1485, 00:00:00.2422614, ElbowRight,0.3294241,0.01787241,2.036788
16:11:23:1495, 00:00:00.2432711, WristRight,0.4485727,-0.1403003,1.812037
16:11:23:1505, 00:00:00.2443053, HandRight,0.4739807,-0.2096581,1.733181
16:11:23:1515, 00:00:00.2453115, HipLeft,0.003074024,-0.1508732,1.928064
16:11:23:1525, 00:00:00.2464669, KneeLeft,-0.07131432,-0.5165827,1.829593
16:11:23:1535, 00:00:00.2475049, AnkleLeft,-0.1045714,-0.8970313,1.761512
16:11:23:1545, 00:00:00.2485678, FootLeft,-0.06769112,-0.9343554,1.664439
16:11:23:1555, 00:00:00.2495914, HipRight,0.149196,-0.1699975,1.997834
16:11:23:1565, 00:00:00.2506177, KneeRight,0.1595821,-0.5804202,1.967839
16:11:23:1575, 00:00:00.2517852, AnkleRight,0.1518914,-0.9352793,1.963876
16:11:23:1585, 00:00:00.2527068, FootRight,0.1943521,-0.9863803,1.875772
16:11:23:1785, 00:00:00.2729452, HipCenter,0.08447791,-0.08640769,2.004643
16:11:23:1805, 00:00:00.2740911, Spine,0.06404896,-0.02818125,2.069442
16:11:23:1815, 00:00:00.2752730, ShoulderCenter,0.08936876,0.3504187,2.127629
16:11:23:1825, 00:00:00.2763219, Head,0.1766131,0.5218159,2.159778
16:11:23:1835, 00:00:00.2774377, ShoulderLeft,-0.05838985,0.2390272,2.037664
16:11:23:1846, 00:00:00.2785228, ElbowLeft,-0.2168486,0.01825543,1.971291
16:11:23:1856, 00:00:00.2796023, WristLeft,-0.2542763,-0.1890348,1.803609
16:11:23:1866, 00:00:00.2807460, HandLeft,-0.2488421,-0.2597518,1.765473
16:11:23:1876, 00:00:00.2818576, ShoulderRight,0.2695138,0.190337,2.169844
16:11:23:1886, 00:00:00.2829050, ElbowRight,0.3284516,-0.01126944,2.12274
16:11:23:1906, 00:00:00.2840291, WristRight,0.4391515,-0.1124071,1.959914
16:11:23:1916, 00:00:00.2852188, HandRight,0.4658715,-0.1462831,1.896926
16:11:23:1926, 00:00:00.2865868, HipLeft,0.01017026,-0.1535981,1.948089
16:11:23:1937, 00:00:00.2877592, KneeLeft,-0.06478272,-0.521806,1.840779
16:11:23:1946, 00:00:00.2889607, AnkleLeft,-0.1037238,-0.8934866,1.769397
16:11:23:1966, 00:00:00.2901410, FootLeft,-0.07008021,-0.9296296,1.672164
16:11:23:1976, 00:00:00.2916430, HipRight,0.1571046,-0.1747915,2.012578
16:11:23:2016, 00:00:00.2956665, KneeRight,0.1596328,-0.5752586,1.979719
16:11:23:2026, 00:00:00.2968393, AnkleRight,0.1548678,-0.9354781,1.991042
16:11:23:2036, 00:00:00.2979834, FootRight,0.1958967,-0.990272,1.906149
16:11:23:2056, 00:00:00.2998407, HipCenter,0.0931404,-0.0908896,2.023495
16:11:23:2066, 00:00:00.3009281, Spine,0.07493792,-0.0329456,2.08865
16:11:23:2076, 00:00:00.3019095, ShoulderCenter,0.1049069,0.3434637,2.145735
16:11:23:2096, 00:00:00.3033809, Head,0.1880253,0.5173936,2.175487
16:11:23:2106, 00:00:00.3043471, ShoulderLeft,-0.04746812,0.236858,2.058129
16:11:23:2116, 00:00:00.3053719, ElbowLeft,-0.2081551,0.01538831,1.989998
16:11:23:2126, 00:00:00.3063876, WristLeft,-0.2460601,-0.1866452,1.818736
16:11:23:2136, 00:00:00.3073353, HandLeft,-0.237955,-0.2574766,1.775866
16:11:23:2146, 00:00:00.3083310, ShoulderRight,0.2787017,0.1854661,2.17921
16:11:23:2159, 00:00:00.3094037, ElbowRight,0.339214,-0.01381738,2.133836
16:11:23:2166, 00:00:00.3103714, WristRight,0.4414813,-0.1164526,1.96872
16:11:23:2176, 00:00:00.3113437, HandRight,0.4451057,-0.1253608,1.941679
16:11:23:2186, 00:00:00.3123666, HipLeft,0.01707465,-0.1570707,1.965976
16:11:23:2196, 00:00:00.3134053, KneeLeft,-0.05589528,-0.5234013,1.856914
16:11:23:2206, 00:00:00.3143998, AnkleLeft,-0.1072711,-0.887989,1.76628
16:11:23:2217, 00:00:00.3153785, FootLeft,-0.07824186,-0.9197107,1.667272
16:11:23:2227, 00:00:00.3163565, HipRight,0.1652516,-0.1807507,2.032079
16:11:23:2237, 00:00:00.3178672, KneeRight,0.1672509,-0.5579073,2.001706
16:11:23:2247, 00:00:00.3194247, AnkleRight,0.1508084,-0.9375187,2.002645
16:11:23:2267, 00:00:00.3210562, FootRight,0.1863983,-0.9905772,1.915642
